name,lat,lon,time,count,diff
TD Garden/North Station,42.366261,-71.062103,2012-05-03 12:00,11.5666666667,-0.566666666667
TD Garden/North Station,42.366261,-71.062103,2012-05-03 13:00,14.6896551724,-3.68965517241
TD Garden/North Station,42.366261,-71.062103,2012-05-03 14:00,12.8571428571,-5.85714285714
TD Garden/North Station,42.366261,-71.062103,2012-05-03 15:00,16.7586206897,4.24137931034
TD Garden/North Station,42.366261,-71.062103,2012-05-03 16:00,11.5172413793,5.48275862069
TD Garden/North Station,42.366261,-71.062103,2012-05-03 17:00,18.4666666667,7.53333333333
TD Garden/North Station,42.366261,-71.062103,2012-05-03 18:00,16.9,-3.9
TD Garden/North Station,42.366261,-71.062103,2012-05-03 19:00,14.0333333333,-3.03333333333
TD Garden/North Station,42.366261,-71.062103,2012-05-03 20:00,12.1034482759,-5.10344827586
TD Garden/North Station,42.366261,-71.062103,2012-05-03 21:00,16.2068965517,-3.20689655172
TD Garden/North Station,42.366261,-71.062103,2012-05-03 22:00,18.6551724138,-1.65517241379
TD Garden/North Station,42.366261,-71.062103,2012-05-03 23:00,17.8620689655,-12.8620689655
TD Garden/North Station,42.366261,-71.062103,2012-05-04 00:00,15.9310344828,-7.93103448276
TD Garden/North Station,42.366261,-71.062103,2012-05-04 01:00,7.20689655172,-3.20689655172
TD Garden/North Station,42.366261,-71.062103,2012-05-04 02:00,5.12,1.88
TD Garden/North Station,42.366261,-71.062103,2012-05-04 03:00,2.33333333333,2.66666666667
TD Garden/North Station,42.366261,-71.062103,2012-05-04 04:00,1.39130434783,-0.391304347826
TD Garden/North Station,42.366261,-71.062103,2012-05-04 05:00,1.6875,-1.6875
TD Garden/North Station,42.366261,-71.062103,2012-05-04 06:00,7.03448275862,-3.03448275862
TD Garden/North Station,42.366261,-71.062103,2012-05-04 07:00,18.8,-0.8
TD Garden/North Station,42.366261,-71.062103,2012-05-04 08:00,31.9666666667,3.03333333333
TD Garden/North Station,42.366261,-71.062103,2012-05-04 09:00,18.7666666667,-6.76666666667
TD Garden/North Station,42.366261,-71.062103,2012-05-04 10:00,20.7333333333,3.26666666667
TD Garden/North Station,42.366261,-71.062103,2012-05-04 11:00,13.9666666667,11.0333333333
TD Garden/North Station,42.366261,-71.062103,2012-05-04 12:00,15.8275862069,43.1724137931
TD Garden/North Station,42.366261,-71.062103,2012-05-04 13:00,14.2413793103,15.7586206897
TD Garden/North Station,42.366261,-71.062103,2012-05-04 14:00,14.4482758621,27.5517241379
TD Garden/North Station,42.366261,-71.062103,2012-05-04 15:00,19.9666666667,18.0333333333
TD Garden/North Station,42.366261,-71.062103,2012-05-04 16:00,16.2,3.8
TD Garden/North Station,42.366261,-71.062103,2012-05-04 17:00,24.8620689655,9.13793103448
TD Garden/North Station,42.366261,-71.062103,2012-05-04 18:00,20.6551724138,4.34482758621
TD Garden/North Station,42.366261,-71.062103,2012-05-04 19:00,18.275862069,-1.27586206897
TD Garden/North Station,42.366261,-71.062103,2012-05-04 20:00,14.6896551724,8.31034482759
TD Garden/North Station,42.366261,-71.062103,2012-05-04 21:00,23.9655172414,29.0344827586
TD Garden/North Station,42.366261,-71.062103,2012-05-04 22:00,38.6206896552,58.3793103448
TD Garden/North Station,42.366261,-71.062103,2012-05-04 23:00,40.7,63.3
TD Garden/North Station,42.366261,-71.062103,2012-05-05 00:00,53.5333333333,67.4666666667
TD Garden/North Station,42.366261,-71.062103,2012-05-05 01:00,71.0344827586,30.9655172414
TD Garden/North Station,42.366261,-71.062103,2012-05-05 02:00,24.8965517241,4.10344827586
TD Garden/North Station,42.366261,-71.062103,2012-05-05 03:00,3.88461538462,2.11538461538
TD Garden/North Station,42.366261,-71.062103,2012-05-05 04:00,2.03846153846,-2.03846153846
TD Garden/North Station,42.366261,-71.062103,2012-05-05 05:00,2.04761904762,0.952380952381
TD Garden/North Station,42.366261,-71.062103,2012-05-05 06:00,1.7619047619,-0.761904761905
TD Garden/North Station,42.366261,-71.062103,2012-05-05 07:00,4.75,0.25
TD Garden/North Station,42.366261,-71.062103,2012-05-05 08:00,12.0689655172,-5.06896551724
